,MSOA_CODE,hotspot_binary
0,E02000730,0
1,E02000053,0
2,E02000243,0
3,E02000793,0
4,E02000077,0
5,E02000818,1
6,E02000117,0
7,E02000149,0
8,E02000724,0
9,E02000347,0
10,E02000705,0
11,E02000825,1
12,E02000869,1
13,E02000589,1
14,E02000942,0
15,E02000300,0
16,E02006798,1
17,E02000473,0
18,E02000729,0
19,E02000159,0
20,E02000319,0
21,E02000804,0
22,E02000472,0
23,E02000109,0
24,E02000637,0
25,E02000465,0
26,E02000026,0
27,E02000476,0
28,E02000566,1
29,E02000044,0
30,E02000858,0
31,E02000891,1
32,E02000744,0
33,E02000974,1
34,E02000132,0
35,E02000086,0
36,E02000746,0
37,E02000226,0
38,E02000289,0
39,E02000462,0
40,E02000420,0
41,E02000883,1
42,E02000278,0
43,E02000750,0
44,E02000515,0
45,E02000707,0
46,E02000544,0
47,E02000206,0
48,E02000249,0
49,E02000815,1
50,E02000934,1
51,E02000252,0
52,E02000229,0
53,E02000436,0
54,E02000121,0
55,E02000787,0
56,E02000288,0
57,E02000001,1
58,E02000003,0
59,E02000408,0
60,E02000350,0
61,E02006791,0
62,E02000415,0
63,E02000693,0
64,E02000717,0
65,E02000514,0
66,E02000133,0
67,E02000541,0
68,E02000065,0
69,E02000583,1
70,E02000088,0
71,E02000092,0
72,E02000147,0
73,E02000299,0
74,E02000884,1
75,E02000841,0
76,E02000161,0
77,E02000665,0
78,E02000256,0
79,E02000728,0
80,E02000794,0
81,E02000404,0
82,E02000965,1
83,E02000507,0
84,E02000141,0
85,E02000492,0
86,E02000327,0
87,E02000106,0
88,E02000572,1
89,E02000093,0
90,E02000870,1
91,E02000864,1
92,E02000532,1
93,E02000788,0
94,E02000115,0
95,E02000624,1
96,E02000882,1
97,E02000954,0
98,E02000690,0
99,E02000025,0
100,E02000503,0
101,E02000972,1
102,E02000606,0
103,E02000531,0
104,E02000188,1
105,E02000748,0
106,E02000379,0
107,E02000842,0
108,E02000753,0
109,E02000924,1
110,E02000316,0
111,E02000466,0
112,E02000167,1
113,E02000381,0
114,E02000108,0
115,E02000067,0
116,E02006795,0
117,E02000673,0
118,E02000808,1
119,E02000140,0
120,E02000843,0
121,E02000596,1
122,E02000660,1
123,E02006794,0
124,E02000351,0
125,E02000501,0
126,E02000931,0
127,E02000445,0
128,E02006785,0
129,E02000370,1
130,E02000062,0
131,E02000662,0
132,E02000136,0
133,E02000184,1
134,E02000251,0
135,E02000620,1
136,E02000320,0
137,E02000266,0
138,E02000733,1
139,E02000412,0
140,E02000317,0
141,E02000120,0
142,E02000490,0
143,E02000410,0
144,E02000296,0
145,E02000126,1
146,E02000469,0
147,E02000308,0
148,E02000887,1
149,E02000040,0
150,E02000719,1
151,E02000525,0
152,E02000762,0
153,E02000800,0
154,E02000947,0
155,E02000209,0
156,E02000056,0
157,E02000285,0
158,E02000281,0
159,E02000416,0
160,E02000958,0
161,E02000642,0
162,E02000785,0
163,E02000940,0
164,E02000037,0
165,E02000094,0
166,E02000122,0
167,E02000270,0
168,E02000057,0
169,E02000091,0
170,E02000431,1
171,E02000725,1
172,E02000343,0
173,E02006918,0
174,E02000760,0
175,E02000910,1
176,E02000262,0
177,E02000945,0
178,E02000368,1
179,E02000630,0
180,E02000564,1
181,E02000250,0
182,E02000658,0
183,E02000845,0
184,E02000261,0
