MSOA_CODE,hotspot_binary
E02000001,1
E02000002,0
E02000003,0
E02000004,0
E02000005,0
E02000006,0
E02000007,0
E02000008,0
E02000009,0
E02000010,0
E02000011,0
E02000012,0
E02000013,0
E02000014,0
E02000015,0
E02000016,0
E02000017,0
E02000018,0
E02000019,0
E02000020,0
E02000021,0
E02000022,0
E02000023,0
E02000024,0
E02000025,0
E02000026,0
E02000027,0
E02000028,0
E02000029,0
E02000030,0
E02000031,0
E02000032,0
E02000033,0
E02000034,0
E02000035,0
E02000036,0
E02000037,0
E02000038,0
E02000039,0
E02000040,0
E02000041,0
E02000042,0
E02000043,0
E02000044,0
E02000045,0
E02000046,0
E02000047,0
E02000048,0
E02000049,0
E02000050,0
E02000051,0
E02000052,0
E02000053,0
E02000054,0
E02000055,0
E02000056,0
E02000057,0
E02000058,0
E02000059,0
E02000060,0
E02000061,0
E02000062,0
E02000063,0
E02000064,0
E02000065,0
E02000066,0
E02000067,0
E02000068,0
E02000069,0
E02000070,0
E02000071,0
E02000072,0
E02000073,0
E02000074,0
E02000075,0
E02000076,0
E02000077,0
E02000078,0
E02000079,0
E02000080,0
E02000081,0
E02000082,0
E02000083,0
E02000084,0
E02000085,0
E02000086,0
E02000087,0
E02000088,0
E02000089,0
E02000090,0
E02000091,0
E02000092,0
E02000093,0
E02000094,0
E02000095,0
E02000096,0
E02000097,0
E02000098,0
E02000099,0
E02000100,0
E02000101,0
E02000102,0
E02000103,0
E02000104,0
E02000105,0
E02000106,0
E02000107,0
E02000108,0
E02000109,0
E02000110,0
E02000111,0
E02000112,0
E02000113,0
E02000114,0
E02000115,0
E02000116,0
E02000117,0
E02000118,0
E02000119,0
E02000120,0
E02000121,0
E02000122,0
E02000123,0
E02000124,0
E02000125,0
E02000126,1
E02000127,0
E02000128,0
E02000129,0
E02000130,0
E02000131,0
E02000132,0
E02000133,0
E02000134,0
E02000135,0
E02000136,0
E02000137,0
E02000138,0
E02000139,0
E02000140,0
E02000141,0
E02000142,0
E02000143,0
E02000144,0
E02000145,0
E02000146,0
E02000147,0
E02000148,0
E02000149,0
E02000150,0
E02000151,0
E02000152,0
E02000153,0
E02000154,0
E02000155,0
E02000156,0
E02000157,0
E02000158,0
E02000159,0
E02000160,0
E02000161,0
E02000162,0
E02000163,0
E02000164,0
E02000165,0
E02000166,1
E02000167,1
E02000168,1
E02000169,1
E02000170,0
E02000171,1
E02000172,1
E02000173,1
E02000174,1
E02000175,0
E02000176,1
E02000177,1
E02000178,0
E02000179,0
E02000180,1
E02000181,0
E02000182,1
E02000183,1
E02000184,1
E02000185,1
E02000186,1
E02000187,1
E02000188,1
E02000189,1
E02000190,1
E02000191,1
E02000192,1
E02000193,1
E02000194,1
E02000195,0
E02000196,0
E02000197,0
E02000198,0
E02000199,0
E02000200,0
E02000201,0
E02000202,0
E02000203,0
E02000204,0
E02000205,0
E02000206,0
E02000207,0
E02000208,0
E02000209,0
E02000210,0
E02000211,0
E02000212,0
E02000213,0
E02000214,0
E02000215,0
E02000216,0
E02000217,0
E02000218,0
E02000219,0
E02000220,0
E02000221,0
E02000222,0
E02000223,0
E02000224,0
E02000225,0
E02000226,0
E02000227,0
E02000228,0
E02000229,0
E02000230,0
E02000231,0
E02000232,0
E02000233,0
E02000234,0
E02000235,0
E02000236,0
E02000237,0
E02000238,0
